workers,seq_time_s,merge_seq_ms,merge_par_ms,lib3A_seq_ms,lib3B_par_ms
1,1.746527716,1721.079099,1767.729981,1756.549124,1750.170576
2,1.755616829,914.962728,922.457838,946.623754,917.111241
3,1.756296904,705.307376,668.507302,710.547777,772.758552
4,1.89847493,551.916304,544.011446,536.493252,546.393428
5,1.770667439,524.024395,463.574636,536.588107,482.000459
6,1.766574557,438.338176,414.442026,447.604855,413.413485
7,1.76848318,435.707628,398.354744,437.337831,400.174258
8,1.754601361,374.556401,367.926074,384.078524,377.173896
9,1.750226393,371.619581,353.652106,384.201015,367.82563
10,1.737905857,382.191332,344.670811,373.569308,352.61215
11,1.750426113,363.925713,337.507584,377.332724,335.806879
12,1.74603523,382.359664,323.032111,382.496989,335.966329
1,1.738623681,1710.982218,1754.680607,1748.51695,1756.549345
2,1.747162348,899.185831,924.662,929.081379,925.858433
3,1.749842902,702.940547,661.026097,707.768365,656.452003
4,1.759723825,528.903436,534.700104,540.312762,546.772246
5,1.754013607,521.306556,466.590335,527.437222,473.857556
6,1.744335104,442.598281,409.00575,440.142833,425.51038
7,1.758623431,437.621017,391.623702,444.388805,390.451799
8,1.761913746,377.710566,373.274397,384.986121,390.478509
9,1.747760887,374.788758,353.61636,379.517242,360.286217
10,1.74290253,374.874207,342.79822,375.914073,351.54864
11,1.758712007,381.882544,332.355187,376.82588,336.388235
12,1.749032672,382.028136,324.282975,376.9732,328.044497
1,1.735827063,1707.9912,1764.827345,1748.942646,1752.292693
2,1.765914742,932.600821,919.085557,934.236966,934.754233
3,1.74331624,694.741283,668.835825,695.727111,659.224999
4,1.75708642,554.167826,540.656829,548.577434,548.976023
5,1.745100587,540.526974,473.778519,529.107471,472.225019
6,1.758282667,432.285571,420.094977,438.846942,420.489128
7,1.735879519,441.244702,386.079388,429.915483,393.702078
8,1.750344367,371.621955,375.217502,374.01026,370.533786
9,1.741061309,383.30139,358.589118,376.588989,370.888591
10,1.745592072,375.775578,356.981827,377.889885,346.906918
11,1.744328443,367.379636,335.558511,376.708817,329.356838
12,1.743248742,388.652953,326.78701,391.464528,327.688864
1,1.716616102,1689.008293,1729.614094,1743.159289,1727.855396
2,1.750954137,898.798757,914.175916,926.878858,919.370827
3,1.757961821,697.404252,659.075042,720.644653,653.451937
4,1.771062707,537.636707,534.470945,541.950964,556.063983
5,1.749778555,521.066166,468.486535,523.275278,472.947221
6,1.738291964,429.568052,402.292685,442.565907,417.740728
7,1.74813363,445.93342,408.913654,441.214587,390.34038
8,1.74881514,383.280823,370.639206,387.309947,385.703772
9,1.761411513,386.155382,355.985161,376.691886,357.280178
10,1.750063325,379.361961,339.668633,385.214506,354.07227
11,1.738666329,379.714831,327.956572,380.372563,333.00479
12,1.756489487,390.277137,323.689885,385.828721,321.399189
1,1.715213754,1686.210985,1728.944889,1719.338372,1712.856656
2,1.729012858,890.857511,915.97175,907.002836,910.884781
3,1.738967743,712.740215,659.313126,712.611311,655.699029
4,1.758585965,548.154004,546.346199,541.109152,545.094105
5,1.751091748,530.375398,453.756625,524.208671,478.5345
6,1.736090526,444.761774,417.443501,451.695679,412.737876
7,1.746566768,430.269672,399.102628,436.228426,409.099944
8,1.740172893,370.630967,373.934658,380.049463,390.371422
9,1.739921131,369.111712,353.799793,383.457644,359.663927
10,1.735455157,372.648782,341.099238,376.146084,350.817318
11,1.744409856,386.409193,335.614615,383.772785,337.772031
12,1.738026547,382.736282,327.563434,377.613126,325.576464
1,1.739135924,1709.370958,1760.472018,1748.946291,1741.958022
2,1.739632138,894.649666,966.602953,916.367611,912.71076
3,1.737371301,696.518839,652.657877,706.82821,651.485609
4,1.741493901,534.512622,547.944526,534.039475,540.059433
5,1.743450802,522.807271,468.32179,524.187533,471.279666
6,1.747595986,436.016906,407.586892,446.248236,425.130559
7,1.742231031,465.917942,390.398495,441.201909,407.134501
8,1.757249551,390.143216,370.950417,370.132999,373.55342
9,1.736977405,373.548861,351.54353,393.698954,370.289463
10,1.749873956,369.345232,341.34492,371.63739,356.590916
11,1.735478569,381.730882,335.343467,376.179774,337.011729
12,1.746709998,382.536416,327.680287,386.428187,329.558296
