workers,sequencial_ms,paralelo_seq_ms,paralelo_par_ms,biblioteca_ms
1,1.778408,377.418,322.094,0.021
2,1.758468,378.893,333.945,117.863
3,1.817691,377.327,322.139,114.654
4,1.798493,381.289,325.243,0.014
5,1.800777,384.198,325.766,0.012
6,1.770136,384.473,322.294,117.487
7,1.834762,392.127,325.183,113.928
8,1.803873,385.469,327.899,394.279
9,1.810276,382.706,329.636,384.822
10,1.840285,387.104,324.754,379.856
11,1.829423,384.425,330.800,404.877
12,1.825895,390.833,324.625,387.190
1,1.776066568,398.164649,323.803371,113.512873
2,1.819122625,387.092502,324.483176,0.015076
3,1.794191502,390.000448,323.459336,150.56302
4,1.800824409,393.895002,325.191045,161.578519
5,1.805661287,375.647343,333.944041,182.216274
6,1.819418573,378.626097,323.902258,111.932207
7,1.815789765,389.725339,321.814454,113.671749
8,1.816259219,387.076621,327.734868,383.099454
9,1.82643233,401.817889,326.251953,381.475265
10,1.83141292,390.51336,325.996894,386.198355
11,1.825968941,377.767852,327.499775,388.297227
12,1.82729762,392.672899,332.015145,406.786781
1,1.778635211,405.914198,330.316672,0.029644
2,1.753175243,388.829239,327.27387,116.768696
3,1.804358495,389.154371,329.27856,0.01214
4,1.777495323,383.401746,328.653122,0.044668
5,1.801379622,379.340968,328.441862,110.83997
6,1.827550698,388.377883,333.140202,0.013997
7,1.811687024,377.203252,326.907441,119.782431
8,1.841875699,384.722749,322.295782,385.201138
9,1.825515097,390.379967,331.56749,385.955118
10,1.850796105,385.305445,328.376368,387.09003
11,1.847807964,392.29701,333.692469,388.598412
12,1.831726816,383.961118,328.117414,391.141189
1,1.797060453,384.47271,320.347382,114.829344
2,1.804689381,383.716204,328.614272,0.014653
3,1.755418805,387.280535,320.26844,129.439291
4,1.818885355,384.806613,328.266598,112.611428
5,1.827152288,376.970369,328.738491,0.014429
6,1.79605408,381.142462,331.948496,126.665439
7,1.82513102,380.486717,331.541286,119.849599
8,1.826893954,379.614764,337.696629,391.061886
9,1.859399252,388.395019,321.974457,382.721272
10,1.831396146,384.340634,325.378915,386.079225
11,1.841692829,396.411465,327.124913,396.697398
12,1.855080048,400.330862,339.351501,404.293317
1,1.784347691,399.99399,322.853702,119.094343
2,1.809106018,389.89426,335.570344,118.029846
3,1.820746512,381.194168,330.453247,152.657427
4,1.828570266,385.681859,318.669634,118.881253
5,1.826001445,385.218066,322.729648,0.015935
6,1.781823743,375.54538,328.575592,143.364514
7,1.849777921,389.178745,326.391979,118.670958
8,1.829659222,394.304486,328.831936,389.88548
9,1.826103129,386.295361,329.587126,392.574551
10,1.841723486,374.532479,334.958076,388.327995
11,1.834528858,383.650444,322.842627,395.965844
12,1.840824636,376.624524,330.9237,395.533676

